                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1569,                 2.7614,                 1.2352,                0.51394,                0.23333,                0.08511,                0.02202,                 2.4146,                 5.3127,                 2.1714,              0.0002377,              0.0002377,              0.0002377
                     79,                0.92171,                 2.0217,                 1.0726,                0.55506,                0.25686,                0.11655,                0.02923,                 2.4139,                 4.8601,                 2.1327,              0.0002278,              0.0002278,              0.0002278
                     80,                0.77447,                  1.786,                 1.0264,                0.55506,                0.25686,                0.11655,                0.02923,                 2.4139,                 4.8601,                 2.1327,              0.0002179,              0.0002179,              0.0002179
                     81,                0.96262,                 2.2783,                 1.0713,                0.51099,                0.34707,                0.15834,                0.03867,                 2.3623,                 4.3746,                 2.0405,               0.000208,               0.000208,               0.000208
                     82,                0.96224,                 1.6269,                 1.0354,                0.51099,                0.34707,                0.15834,                0.03867,                 2.3623,                 4.3746,                 2.0405,              0.0001981,              0.0001981,              0.0001981
                     83,                0.79964,                  1.714,                 1.0312,                0.51099,                0.34707,                0.15834,                0.03867,                 2.3623,                 4.3746,                 2.0405,              0.0001882,              0.0001882,              0.0001882
                     84,                  1.122,                 2.1643,                 1.1522,                0.56083,                0.33333,                0.16945,                0.04793,                 2.3405,                 4.2695,                 1.9837,              0.0001783,              0.0001783,              0.0001783
                     85,                0.90258,                 2.0562,                  1.066,                0.56083,                0.33333,                0.16945,                0.04793,                 2.3405,                 4.2695,                 1.9837,              0.0001684,              0.0001684,              0.0001684
                     86,                0.97782,                 2.0315,                 1.1734,                0.56763,                0.33333,                0.18488,                0.05243,                 2.3019,                 4.2457,                 1.9593,              0.0001585,              0.0001585,              0.0001585
                     87,                0.88988,                 2.1897,                0.99686,                0.56763,                0.33333,                0.18488,                0.05243,                 2.3019,                 4.2457,                 1.9593,              0.0001486,              0.0001486,              0.0001486
                     88,                0.95306,                 1.9425,                 1.1045,                0.52839,                0.33768,                0.16473,                0.04932,                 2.3258,                 4.3561,                 1.9798,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.1671,                 1.9588,                 1.1187,                0.52839,                0.33768,                0.16473,                0.04932,                 2.3258,                 4.3561,                 1.9798,              0.0001288,              0.0001288,              0.0001288
                     90,                0.97683,                 1.9748,                 1.0177,                0.50391,                0.33333,                0.12685,                0.05032,                 2.3284,                  4.411,                 1.9874,              0.0001189,              0.0001189,              0.0001189
                     91,                0.89595,                 2.1797,                 1.0655,                0.50391,                0.33333,                0.12685,                0.05032,                 2.3284,                  4.411,                 1.9874,               0.000109,               0.000109,               0.000109
                     92,                0.95266,                 2.0589,                 1.1303,                0.50391,                0.33333,                0.12685,                0.05032,                 2.3284,                  4.411,                 1.9874,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.78251,                 2.0485,                 1.0163,                0.50672,                0.26667,                0.12205,                0.05278,                 2.3921,                 4.6612,                 2.0798,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.88938,                   2.01,                 1.1873,                0.50672,                0.26667,                0.12205,                0.05278,                 2.3921,                 4.6612,                 2.0798,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.0518,                 2.2419,                 1.2218,                0.53457,                0.28302,                0.12515,                0.05368,                 2.3848,                 4.7382,                  2.088,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.74278,                 1.9638,                 1.0057,                0.53457,                0.28302,                0.12515,                0.05368,                 2.3848,                 4.7382,                  2.088,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.97317,                 2.0506,                 1.1604,                0.51087,                    0.3,                0.12228,                0.04867,                 2.3638,                 4.8233,                 2.0928,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.90573,                  2.133,                  1.091,                0.51087,                    0.3,                0.12228,                0.04867,                 2.3638,                 4.8233,                 2.0928,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.78628,                 1.9352,                   1.04,                0.51087,                    0.3,                0.12228,                0.04867,                 2.3638,                 4.8233,                 2.0928,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.97812,                 2.2885,                  1.188,                0.49064,                    0.3,                0.12307,                0.04791,                 2.3752,                 4.8025,                 2.1096,               1.99e-05,               1.99e-05,               1.99e-05
